iso3code,official_name,status_u5mr,u5mr_class
AFG,Afghanistan,Acceleration Needed,off-track
AGO,Angola,Acceleration Needed,off-track
AIA,Anguilla,Achieved,on-track
ALB,Albania,Achieved,on-track
AND,Andorra,Achieved,on-track
ARE,United Arab Emirates,Achieved,on-track
ARG,Argentina,Achieved,on-track
ARM,Armenia,Achieved,on-track
ATG,Antigua and Barbuda,Achieved,on-track
AUS,Australia,Achieved,on-track
AUT,Austria,Achieved,on-track
AZE,Azerbaijan,Achieved,on-track
BEN,Benin,Acceleration Needed,off-track
BEL,Belgium,Achieved,on-track
BWA,Botswana,Acceleration Needed,off-track
BFA,Burkina Faso,Acceleration Needed,off-track
BGD,Bangladesh,On Track,on-track
BGR,Bulgaria,Achieved,on-track
BHR,Bahrain,Achieved,on-track
BHS,Bahamas,Achieved,on-track
BIH,Bosnia and Herzegovina,Achieved,on-track
BLR,Belarus,Achieved,on-track
BLZ,Belize,Achieved,on-track
BOL,Bolivia (Plurinational State of),Achieved,on-track
BRA,Brazil,Achieved,on-track
BRB,Barbados,Achieved,on-track
BRN,Brunei Darussalam,Achieved,on-track
BTN,Bhutan,Achieved,on-track
BDI,Burundi,Acceleration Needed,off-track
CMR,Cameroon,Acceleration Needed,off-track
CAN,Canada,Achieved,on-track
CHE,Switzerland,Achieved,on-track
CHL,Chile,Achieved,on-track
CHN,China,Achieved,on-track
CAF,Central African Republic,Acceleration Needed,off-track
TCD,Chad,Acceleration Needed,off-track
COM,Comoros,Acceleration Needed,off-track
COG,Congo,Acceleration Needed,off-track
COK,Cook Islands,Achieved,on-track
COL,Colombia,Achieved,on-track
CIV,Côte d'Ivoire,Acceleration Needed,off-track
CPV,Cabo Verde,Achieved,on-track
CRI,Costa Rica,Achieved,on-track
CUB,Cuba,Achieved,on-track
CYP,Cyprus,Achieved,on-track
CZE,Czechia,Achieved,on-track
DEU,Germany,Achieved,on-track
COD,Democratic Republic of the Congo,Acceleration Needed,off-track
DMA,Dominica,Acceleration Needed,off-track
DNK,Denmark,Achieved,on-track
DOM,Dominican Republic,Acceleration Needed,off-track
DZA,Algeria,Achieved,on-track
ECU,Ecuador,Achieved,on-track
EGY,Egypt,Achieved,on-track
DJI,Djibouti,Acceleration Needed,off-track
ESP,Spain,Achieved,on-track
EST,Estonia,Achieved,on-track
