iso3_code,ref_area,country_name,country_official_name,track_status,time_period,anc4_coverage,sba_coverage,births_2022,births_2022_thousands,population_2022_thousands
AFG,AFG: Afghanistan,Afghanistan,Afghanistan,off-track,2020,27.6,61.8,1446698.9999999998,1446.6989999999998,41128.771
AIA,AIA: Anguilla,Anguilla,Anguilla,on-track,2020,NA,100,150.00000000000003,0.15000000000000002,15.857
ALB,ALB: Albania,Albania,Albania,on-track,2018,77.8,NA,28795,28.795,2842.321
ALB,ALB: Albania,Albania,Albania,on-track,2022,NA,100,28795,28.795,2842.321
ARE,ARE: United Arab Emirates,United Arab Emirates,United Arab Emirates,on-track,2022,NA,99.9,93343,93.343,9441.129
ARG,ARG: Argentina,Argentina,Argentina,on-track,2020,90.4,98.8,627741,627.741,45510.318
ATG,ATG: Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,on-track,2020,NA,99,1124,1.124,93.763
AUS,AUS: Australia,Australia,Australia,on-track,2021,NA,98.7,300245.99999999994,300.2459999999999,26177.413
AUT,AUT: Austria,Austria,Austria,on-track,2022,NA,98.1,84394,84.394,8939.617
AZE,AZE: Azerbaijan,Azerbaijan,Azerbaijan,on-track,2022,NA,99.9,123673,123.673,10358.074
BDI,BDI: Burundi,Burundi,Burundi,off-track,2022,NA,75.2,439648,439.648,12889.576
BEN,BEN: Benin,Benin,Benin,off-track,2022,52.6,80.8,481714.99999999994,481.7149999999999,13352.864
BFA,BFA: Burkina Faso,Burkina Faso,Burkina Faso,off-track,2021,72.1,95.8,793030.9999999999,793.0309999999998,22673.762
BGD,BGD: Bangladesh,Bangladesh,Bangladesh,on-track,2022,38.3,69.8,2994966,2994.966,171186.372
BGR,BGR: Bulgaria,Bulgaria,Bulgaria,on-track,2021,NA,94.5,56663.000000000015,56.66300000000001,6781.953
BHR,BHR: Bahrain,Bahrain,Bahrain,on-track,2020,NA,98.2,16861,16.861,1472.233
BHS,BHS: Bahamas,Bahamas,Bahamas,on-track,2020,NA,99,4658.999999999999,4.658999999999999,409.984
BIH,BIH: Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,on-track,2021,NA,99.9,26763.999999999996,26.763999999999996,3233.526
BLR,BLR: Belarus,Belarus,Belarus,on-track,2019,99.9,NA,87252,87.252,9534.954
BLR,BLR: Belarus,Belarus,Belarus,on-track,2022,NA,99.9,87252,87.252,9534.954
BLZ,BLZ: Belize,Belize,Belize,on-track,2020,NA,94.6,7192.999999999999,7.192999999999999,405.272
BOL,BOL: Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of),on-track,2022,NA,71.5,264070,264.07,12224.11
BRA,BRA: Brazil,Brazil,Brazil,on-track,2021,92.3,98.2,2723265.9999999995,2723.2659999999996,215313.498
BRB,BRB: Barbados,Barbados,Barbados,on-track,2020,NA,98.4,3036.9999999999995,3.0369999999999995,281.635
BRN,BRN: Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,on-track,2021,NA,99.6,6057.999999999999,6.057999999999999,449.002
BTN,BTN: Bhutan,Bhutan,Bhutan,on-track,2021,NA,98.9,9648,9.648,782.455
BWA,BWA: Botswana,Botswana,Botswana,off-track,2021,NA,99.8,60553.99999999999,60.553999999999995,2630.296
CAF,CAF: Central African Republic,Central African Republic,Central African Republic,off-track,2019,41.4,40.3,236642.99999999997,236.64299999999997,5579.144
CAN,CAN: Canada,Canada,Canada,on-track,2021,NA,97.6,376188,376.188,38454.327
CHL,CHL: Chile,Chile,Chile,on-track,2020,NA,99.8,230824,230.824,19603.733
CHN,CHN: China,China,China,on-track,2018,92.9,NA,10757794.000000002,10757.794000000002,1425887.337
CIV,CIV: Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,off-track,2021,56.3,84,943133,943.133,28160.542
CMR,CMR: Cameroon,Cameroon,Cameroon,off-track,2018,64.9,69,959096,959.096,27914.536
COD,COD: Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,off-track,2018,42.9,85.2,4133986.999999999,4133.986999999999,99010.212
COL,COL: Colombia,Colombia,Colombia,on-track,2021,NA,97.5,723264,723.264,51874.024
COM,COM: Comoros,Comoros,Comoros,off-track,2022,64.3,97.2,24201,24.201,836.774
CPV,CPV: Cabo Verde,Cabo Verde,Cabo Verde,on-track,2018,85.6,97.3,9908.000000000002,9.908,593.149
CRI,CRI: Costa Rica,Costa Rica,Costa Rica,on-track,2018,94.1,NA,60516.99999999999,60.517,5180.829
CRI,CRI: Costa Rica,Costa Rica,Costa Rica,on-track,2021,NA,98.8,60516.99999999999,60.517,5180.829
CUB,CUB: Cuba,Cuba,Cuba,on-track,2019,79.3,NA,99693,99.693,11212.191
CUB,CUB: Cuba,Cuba,Cuba,on-track,2021,NA,99.9,99693,99.693,11212.191
CYP,CYP: Cyprus,Cyprus,Cyprus,on-track,2021,NA,99.9,12517.000000000002,12.517,1251.488
DEU,DEU: Germany,Germany,Germany,on-track,2021,NA,96.3,761194.0000000001,761.1940000000001,83369.843
DMA,DMA: Dominica,Dominica,Dominica,off-track,2020,NA,100,966,0.966,72.737
DNK,DNK: Denmark,Denmark,Denmark,on-track,2022,NA,96.4,64107,64.107,5882.261
DOM,DOM: Dominican Republic,Dominican Republic,Dominican Republic,off-track,2019,92.6,99.2,203625,203.625,11228.821
DZA,DZA: Algeria,Algeria,Algeria,on-track,2019,69.8,98.8,923648,923.648,44903.225
ECU,ECU: Ecuador,Ecuador,Ecuador,on-track,2020,NA,96.3,298666,298.666,18001
EGY,EGY: Egypt,Egypt,Egypt,on-track,2021,89.9,97.1,2453941,2453.941,110990.103
ESP,ESP: Spain,Spain,Spain,on-track,2022,NA,99.9,356358.99999999994,356.3589999999999,47558.63
EST,EST: Estonia,Estonia,Estonia,on-track,2022,NA,99.1,13422.000000000002,13.422000000000002,1326.062
ETH,ETH: Ethiopia,Ethiopia,Ethiopia,off-track,2019,43,49.8,3928445,3928.445,123379.924
FIN,FIN: Finland,Finland,Finland,on-track,2021,NA,99.5,47136,47.136,5540.745
FJI,FJI: Fiji,Fiji,Fiji,off-track,2021,88.7,99.8,17821.000000000004,17.821000000000005,929.766
FRA,FRA: France,France,France,on-track,2021,NA,97.3,672880,672.88,64626.628
GAB,GAB: Gabon,Gabon,Gabon,off-track,2021,77.8,95.2,64021.99999999999,64.02199999999999,2388.992
GEO,GEO: Georgia,Georgia,Georgia,on-track,2020,85.2,NA,49106,49.106,3744.385
GEO,GEO: Georgia,Georgia,Georgia,on-track,2022,NA,99.7,49106,49.106,3744.385
GHA,GHA: Ghana,Ghana,Ghana,off-track,2022,87.8,NA,906677,906.677,33475.87
GHA,GHA: Ghana,Ghana,Ghana,off-track,2018,NA,78.9,906677,906.677,33475.87
GIN,GIN: Guinea,Guinea,Guinea,off-track,2021,58.3,NA,469310.99999999994,469.3109999999999,13859.341
GIN,GIN: Guinea,Guinea,Guinea,off-track,2018,NA,55.3,469310.99999999994,469.3109999999999,13859.341
GMB,GMB: Gambia,Gambia,Gambia,off-track,2020,78.5,83.8,88535,88.535,2705.992
GNB,GNB: Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,off-track,2019,80.7,53.8,64479,64.479,2105.566
GRC,GRC: Greece,Greece,Greece,on-track,2022,NA,99.9,77141,77.141,10384.971
GRD,GRD: Grenada,Grenada,Grenada,on-track,2020,NA,100,1960,1.96,125.438
GUY,GUY: Guyana,Guyana,Guyana,on-track,2020,84.7,97.6,16129.000000000002,16.129,808.726
HND,HND: Honduras,Honduras,Honduras,on-track,2019,88.3,94.1,217590,217.59,10432.86
HRV,HRV: Croatia,Croatia,Croatia,on-track,2022,96.5,NA,33924.00000000001,33.92400000000001,4030.358
HRV,HRV: Croatia,Croatia,Croatia,on-track,2019,NA,99.9,33924.00000000001,33.92400000000001,4030.358
IDN,IDN: Indonesia,Indonesia,Indonesia,on-track,2019,NA,94.7,4462212,4462.212,275501.339
IND,IND: India,India,India,on-track,2021,58.4,89.4,23056027,23056.027,1417173.173
IRL,IRL: Ireland,Ireland,Ireland,on-track,2020,NA,99.6,57561,57.561,5023.109
IRQ,IRQ: Iraq,Iraq,Iraq,on-track,2018,67.9,95.6,1203187.9999999998,1203.188,44496.122
ISL,ISL: Iceland,Iceland,Iceland,on-track,2020,NA,97.4,4567.999999999999,4.567999999999999,372.899
